GTA SA MEMORY FUNCTIONS/MEMORY ADDRESS research

(offsets) for GTA SA PC only!! (see notes at bottom of file incase you happen to see some mobile-related stuff come across..)

  Address            FUNCTION
 0001:00199F80       CMatrix::SetTranslateOnly(float,float,float)
 0001:0019A020       CMatrix::SetRotateZOnly(float)
 0001:0019A0A0       CMatrix::SetRotateY(float)
 0001:0019A0E0       CMatrix::SetRotateZ(float)
 0001:0019A120       CMatrix::SetRotate(float,float,float)
 0001:0019A1E0       CMatrix::RotateX(float)
 0001:0019A2C0       CMatrix::RotateY(float)
 0001:0019A390       CMatrix::RotateZ(float)
 0001:0019A6A0       CMatrix::Reorthogonalise(void)
 0001:0019AB60       CVisibilityPlugins::SetRenderWareCamera(RwCamera *)
 0001:0019ABB0       CMatrix::UpdateRW(void)
 0001:0019ABC0       CMatrix::operator=(CMatrix const&)
 0001:0019ACF0       CMatrix::CMatrix(CMatrix const&)
 0001:0019AD10       CMatrix::Attach(RwMatrixTag *,bool)
 0001:0019ADD0       Invert(CMatrix const&)
 0001:0019AE30       CMatrix_operator_mult
 0001:0019B050       CMatrix::CMatrix(RwMatrixTag *,bool)
 0001:0019B730       CrossProduct(CVector const&,CVector const&)
 0001:0019B790       Multiply3x3(CMatrix const&,CVector const&)
 0001:0019B810       Multiply3x3(CVector const&,CMatrix const&)
 0001:0019B890       operator*(CMatrix const&,CVector const&)
 0001:0019B910       CVector::Normalise(void)
 0001:0019C100       BreakablePluginAttach(void)
 0001:0019CDD0       BreakObject_c::Exit(void)
 0001:0019D650       BreakManager_c::Init(void)
 0001:0019D660       BreakManager_c::Exit(void)
 0001:0019D670       BreakManager_c::Update(float)
 0001:0019D6A0       BreakManager_c::Render(uchar)
 0001:0019D720       BreakManager_c::ResetAll(void)
 0001:0019D9B0       BreakManager_c::Add(CObject *,RwV3d *,float,int)
 0001:0019E000       CObject::~CObject()
 0001:0019E110       CEntity::GetBoundRect(void)
 0001:0019E200       CObject::SetMatrixForTrainCrossing(CMatrix *,float)
 0001:0019E300       CObject::SetObjectTargettable(uchar)
 0001:0019E400       CObject::AddToControlCodeList(void)
 0001:0019E4B0       CObject::ResetDoorAngle(void)
 0001:0019E5C0       CObject::LockDoor(void)
 0001:0019E660       CObject::~CObject()
 0001:0019E840       CObject::Init(void)
 0001:0019EB50       CObject::DoBurnEffect(void)
 0001:0019ED00       CObject::GetLightingFromCollisionBelow(void)
 0001:0019ED50       CObject::PreRender(void)
 0001:0019F760       CObject::SetIsStatic(bool)
 0001:0019F7D0       CObject::ProcessSamSiteBehaviour(void)
 0001:0019FB50       CObject::ProcessTrainCrossingBehaviour(void)
 0001:0019FD90       CObject::ObjectDamage(float,CVector *,CVector *,CEntity *,eWeaponType)
 0001:001A0580       CObject::ObjectFireDamage(float,CEntity *)
 0001:001A0840       CObject::TryToFreeUpTempObjects(int)
 0001:001A0980       CObject::DeleteAllTempObjectsInArea(CVector,float)
 0001:001A0C20       CPools__AllocateObjects
 0001:001A0D10       CObject::CObject(void)
 0001:001A0D70       CObject::CObject(CDummyObject *)
 0001:001A0DF0       CObject::CObject(CDummyObject *)
 0001:001A0EE0       CObject::operator new(uint)
 0001:001A0F20       CObject::operator delete(void *)
 0001:001A0F60       CObject__Create
 0001:001A1130       CObject::ProcessControl(void)
 0001:001A19A0       CObject::ProcessControlLogic(void)
 0001:001A1D00       CObjectData::SetObjectData(int,CObject &)
 0001:001A2270       ProcSurfaceInfo_c::Exit(void)
 0001:001A2EA0       ProcObjectMan_c__Init
 0001:001A2EE0       ProcObjectMan_c::Exit(void)
 0001:001A3030       CProjectile::CProjectile(int)
 0001:001A3037       CProjectile::CProjectile(int)
 0001:001A30E0       CProjectile::~CProjectile()
 0001:001A30F0       CProjectile::~CProjectile()
 0001:001A33A0       PreInstanceClump(RpClump *)
 0001:001A68F0       CPedClothesDesc::Initialise(void)
 0001:001A6950       CPedClothesDesc::GetIsWearingBalaclava(void)
 0001:001A7020       CPedClothesDesc::CPedClothesDesc(void)
 0001:001A70D0       CClothes__Init
 0001:001A71B0       CClothes::GetDefaultPlayerMotionGroup(void)
 0001:001A72C0       CClothes::RebuildPlayer(CPlayerPed *,bool)
 0001:001AEA50       FindCutsceneAudioTrackId(char const*)
 0001:001AEAD0       CCutsceneMgr::HideRequestedObjects(void)
 0001:001AEBC0       CCutsceneMgr::LoadCutsceneData_postload(void)
 0001:001AED60       CCutsceneMgr::DeleteCutsceneData_overlay(void)
 0001:001AF5A0       CCutsceneMgr::LoadCutsceneData_preload(void)
 0001:001B01C0       CCutsceneMgr::LoadCutsceneData_loading(void)
 0001:001B04D0       CCutsceneMgr::SetupCutsceneToStart(void)
 0001:001B14D0       CCamera::LoadPathSplines(int)
 0001:001B15F0       CCam::Process_FlyBy(CVector const&,float,float,float)
 0001:001B1AD0       CColAccel__endCache
 0001:001B21A0       CColAccel::startCache(void)
 0001:001B2680       LoadingScreenLoadingFile(char const*)
 0001:001B2AD0       SetClumpModelInfoFlags(CClumpModelInfo *,uint)
 0001:001B2DE0       CFileLoader::LoadTimeObject(char const*)
 0001:001B2FB0       CFileLoader::LoadWeaponObject(char const*)
 0001:001B3040       CFileLoader::LoadClumpObject(char const*)
 0001:001B30C0       CFileLoader::LoadAnimatedClumpObject(char const*)
 0001:001B31C0       CFileLoader::LoadPathHeader(char const*,int &)
 0001:001B31F0       CFileLoader::LoadPedPathNode(char const*,int,int)
 0001:001B3380       CFileLoader::LoadCarPathNode(char const*,int,int,bool)
 0001:001B3530       CFileLoader::LoadGarage(char const*)
 0001:001B35D0       CFileLoader::LoadStuntJump(char const*)
 0001:001B3740       CFileLoader::LoadCarGenerator(char const*,int)
 0001:001B37B0       CFileLoader::LoadPickup(char const*)
 0001:001B3AB0       CFileLoader::LoadZone(char const*)
 0001:001B3B40       CFileLoader::LoadCullZone(char const*)
 0001:001B3C80       CFileLoader::LoadOcclusionVolume(char const*,char const*)
 0001:001B3D70       CFileLoader::LoadAudioZone(char const*)
 0001:001B4360       CObjectData::Initialise(char *,bool)
 0001:001B47C0       MatchAllModelStrings(void)
 0001:001B55A0       CVehicleModelInfo::LoadVehicleUpgrades(void)
 0001:001B5F30       CFileLoader::LoadVehicleObject(char const*)
 0001:001B6420       CFileLoader::LoadPedObject(char const*)
 0001:001B65E0       CFileLoader::LoadTXDParent(char const*)
 0001:001B7030       CFileLoader::LoadEntryExit(char const*)
 0001:001B71D0       CFileLoader::LoadTimeCyclesModifier(char const*)
 0001:001B7400       CFileLoader::LoadObjectTypes(char const*)
 0001:001B7700       CFileLoader::LoadScene(char const*)
 0001:001B7AD0       CStreaming::Init(void)
 0001:001B7F00       CVehicleModelInfo::SetupCommonData(void)
 0001:001B8030       CFileLoader::LoadLevel(char const*)
 0001:001B87F0       CAEAudioUtility::StaticInitialise(void)
 0001:001B88A0       CAEPedAudioEntity::StaticInitialise(void)
 0001:001B88C0       CAEPedSpeechAudioEntity::StaticInitialise(void)
 0001:001B89F0       CAEVehicleAudioEntity::StaticInitialise(void)
 0001:001B8A60       CAEExplosionAudioEntity::StaticInitialise(void)
 0001:001B8A70       CAEWeatherAudioEntity::StaticInitialise(void)
 0001:001B8A80       CAEDoorAudioEntity::StaticInitialise(void)
 0001:001B8A90       CAEFireAudioEntity::StaticInitialise(void)
 0001:001B8AB0       CAEFrontendAudioEntity::Initialise(void)
 0001:001B8B60       CAEScriptAudioEntity::Initialise(void)
 0001:001B8BD0       CAECollisionAudioEntity::Initialise(void)
 0001:001B8C30       CAEPoliceScannerAudioEntity::StaticInitialise(void)
 0001:001B8C60       CAudioEngine::Initialise(void)
 0001:001B91A0       CGame::Init2(char const*)
 0001:001B9400       CGame__Init3
 0001:001B98C0       CTempColModels::Initialise(void)
 0001:001BAAC0       CTimeCycle::Initialise(bool)
 0001:001BB090       CPopCycle::Initialise(void)
 0001:001BB520       CCamera__Init
 0001:001BB910       CAnimManager::ReadAnimAssociationDefinitions(void)
 0001:001BBA10       InitModelIndices
 0001:001BBCD0       CStreaming__ReadIniFile
 0001:001BC830       cHandlingDataMgr::Initialise(void)
 0001:001BDDC0       CTaskSimpleFight__LoadMeleeData
 0001:001BE6B0       CAnimManager::Initialise(void)
 0001:001BE750       CWeaponInfo::Initialise(void)
 0001:001BE840       CGame::Init1(char const*)
 0001:001BE9D0       CPedStats::Initialise(void)
 0001:001BEA90       CGame::InitialiseCoreDataAfterRW(void)
 0001:001BF500       InteriorManager_c__Init
 0001:001BF5F0       FxSystemBP_c::Load(char *,int,int)
 0001:001BFA30       FxEmitterBP_c::LoadTextures(FxName32_t *,int)
 0001:001BFB70       FxInfoManager_c::Load(int,int)
 0001:001C0B10       FxInterpInfo32_c::Load(int)
 0001:001C0F50       FxManager_c::LoadFxSystemBP(char *,int)
 0001:001C1010       FxPrimBP_c::Load(int,int,FxName32_t *)
 0001:001C1420       FxManager_c::LoadFxProject(char *)
 0001:001C15F0       FxEmitterBP_c::Load(int,int,FxName32_t *)
 0001:001CF890       CPools::Load(void)
 0001:001D0270       CGenericGameStorage::SaveDataToWorkBuffer(void *,int)
 0001:001D0300       CGenericGameStorage::LoadDataFromWorkBuffer(void *,int)
 0001:001D07B0       CGenericGameStorage__GenericLoad
 0001:001D1900       CVehicle::Load(void)
 0001:001D1980       CAutomobile::Load(void)
 0001:001D1D70       CPools::LoadPedPool(void)
 0001:001D3640       CPed::Load(void)
 0001:001D36E0       CPlayerPed::Load(void)
 0001:001D3760       CVehicle::Save(void)
 0001:001D37E0       CAutomobile::Save(void)
 0001:001D3A40       _ZN6CPools4LoadEv_
 0001:001D4730       CPed::Save(void)
 0001:001D47E0       CPlayerPed::Save(void)
 0001:001D4AD0       CCarFXRenderer::Shutdown(void)
 0001:001D4B00       CCarFXRenderer::RegisterPlugins(void)
 0001:001D4B10       CCarFXRenderer::PreRenderUpdate(void)
 0001:001D4B60       CCustomBuildingRenderer::AtomicSetup(RpAtomic *)
 0001:001D4B80       CCarFXRenderer::SetCustomFXAtomicRenderPipelinesVMICB(RpAtomic *,void *)
 0001:001D6380       CCustomBuildingPipeline::DestroyPipe(void)
 0001:001D6EE0       CCustomBuildingRenderer::Shutdown(void)
 0001:001D6EF0       CCustomBuildingRenderer::PluginAttach(void)
 0001:001D6F00       CCarFXRenderer::IsCCPCPipelineAttached(RpAtomic *)
 0001:001D6F40       CCustomBuildingRenderer::IsCBPCPipelineAttached(RpAtomic *)
 0001:001D7870       CCarFXRenderer::PreRenderUpdate(void)
 0001:001D9BA0       CGrassRenderer::Shutdown(void)
 0001:001DA940       CPlantMgr::Shutdown(void)
 0001:001DC910       CPlantMgr__Initialise
 0001:001DCB70       CCivilianPed::CCivilianPed(ePedType,uint)
 0001:001DCBF0       CCivilianPed::ProcessControl(void)
 0001:001DCC60       CCopPed::CCopPed(eCopType)
 0001:001DD160       CCopPed::ProcessControl(void)
 0001:001DD340       CEmergencyPed::CEmergencyPed(uint,uint)
 0001:001DD400       CEmergencyPed::ProcessControl(void)
 0001:001DD680       CGangs__Initialise
 0001:001DDA00       CEventEditableResponse::~CEventEditableResponse()
 0001:001DDBB0       CPed::Initialise(void)
 0001:001DDBF0       CPed::DeleteRwObject(void)
 0001:001DDC00       CPed::SetMoveState(eMoveState)
 0001:001DDF20       CPed::ClearAimFlag(void)
 0001:001DDFD0       CPed::IsPedShootable(void)
 0001:001DE090       CPed::CanStrafeOrMouseControl(void)
 0001:001DE340       CPed::DoGunFlash(int,bool)
 0001:001DE560       CPed::ShoulderBoneRotation(RpClump *)
 0001:001DE8F0       CPed::IsPlayer(void)
 0001:001DEDF0       CPed::PositionAttachedPed(void)
 0001:001DF170       CPed::IsAlive(void)
 0001:001DF360       CPed::DropEntityThatThisPedIsHolding(uchar)
 0001:001DF5B0       CEventSoundQuiet::CEventSoundQuiet(void)
 0001:001E0950       CPed::ClearLookFlag(void)
 0001:001E1530       CPed::ProcessEntityCollision(CEntity *,CColPoint *)
 0001:001E2960       CPed::IsPedInControl(void)
 0001:001E2990       CPed::RemoveWeaponModel(int)
 0001:001E2B60       CPed::GetWeaponSkill(eWeaponType)
 0001:001E2C30       CPed::SpecialEntityPreCollisionStuff(CPhysical *,bool,bool &,bool &,bool &,bool &)
 0001:001E2E90       CPed::SpecialEntityCalcCollisionSteps(bool &,bool &)
 0001:001E3110       CPed::Teleport(CVector,uchar)
 0001:001E3220       CPed::IsPointerValid(void)
 0001:001E3280       CPed::GetBonePosition(RwV3d &,uint,bool)
 0001:001E3500       CPed::SetPedState(ePedState)
 0001:001E3720       CPed::operator new(uint)
 0001:001E37E0       CPed::SetCharCreatedBy(uchar)
 0001:001E3880       CPed::SetModelIndex(uint)
 0001:001E3A00       CPed::SetMoveAnim(void)
 0001:001E4380       CPed::DoFootLanded(bool,uchar)
 0001:001E4ED0       CPed::AddWeaponModel(int)
 0001:001E5080       CPed::GiveWeapon(eWeaponType,uint,bool)
 0001:001E5580       CPed::GetWeaponSkill(void)
 0001:001E55A0       CPed::PreRenderAfterTest(void)
 0001:001E6680       CPed::Render(void)
 0001:001E6B70       CPed::FlagToDestroyWhenNextProcessed(void)
 0001:001E7030       CPed::CPed(uint)
 0001:001E7627       CPed::~CPed()
 0001:001E7910       CPed::RequestDelayedWeapon(void)
 0001:001E79B0       CPed::GiveDelayedWeapon(eWeaponType,uint)
 0001:001E7A20       CPed::PreRender(void)
 0001:001E7CD0       CPed::ProcessControl(void)
 0001:001EEFE0       CPed::Say(ushort,uint,float,uchar,uchar,uchar)
 0001:001EF140       CPed::RemoveBodyPart(int,signed char)
 0001:001F2880       CPedGeometryAnalyser::LiesInsideBoundingBox(CPed const&,CVector const&,CEntity &)
 0001:001F5710       CTaskComplexSequence::Clone(void)
 0001:001FA800       CPedGroups::AddGroup(void)
 0001:001FA8C0       CPedGroups__Init
 0001:001FA930       CPedGroups::CleanUpForShutDown(void)
 0001:001FAB70       CPedGroupIntelligence::SetDefaultTaskAllocatorType(int)
 0001:001FB800       CPedGroups::Process(void)
 0001:001FC8C0       CPedIK::CPedIK(CPed *)
 0001:001FCC00       CPedIK::PointGunInDirection(float,float,bool,float)
 0001:001FCDB0       CPedIK::RotateTorso(AnimBlendFrameData *,LimbOrientation &,bool)
 0001:001FD0E0       CPedIK::PitchForSlope(void)
 0001:001FFB50       CPedIntelligence::SetPedDecisionMakerType(int)
 0001:001FFF30       CPedIntelligence::GetTaskFighting(void)
 0001:001FFF70       CPedIntelligence::GetTaskUseGun(void)
 0001:001FFFF0       CPedIntelligence::GetTaskHold(bool)
 0001:00200070       CPedIntelligence::GetTaskSwim(void)
 0001:00200110       CPedIntelligence::GetTaskJetPack(void)
 0001:00200150       CPedIntelligence::GetTaskInAir(void)
 0001:00200420       CPlayerInfo::CancelPlayerEnteringCars(CVehicle *)
 0001:002008F0       CPedIntelligence::ProcessAfterProcCol(void)
 0001:00200DA0       CPedIntelligence::FlushIntelligence(void)
 0001:00201590       CInterestingEvents::Add(CInterestingEvents::EType,CEntity *)
 0001:00206140       CPedIntelligence::CPedIntelligence(CPed *)
 0001:002064A0       CPedIntelligence::operator new(uint)
 0001:00206D00       CDecisionMakerTypesFileLoader__ReStart
 0001:002075E0       CPedScriptedTaskRecord::Process(void)
 0001:00207830       CPedType::GetPedFlag(int)
 0001:002079B0       CPedType::GetPedTypeAcquaintances(int)
 0001:00207B00       CPedType::Shutdown(void)
 0001:00207B30       CPedType::LoadPedData(void)
 0001:00207DA0       CAcquaintance::SetAsAcquaintance(int,uint)
 0001:00207E40       CPedType::Initialise(void)
 0001:00208520       CPlayerPed::DeactivatePlayerPed(int)
 0001:00208540       CPlayerPed::ReactivatePlayerPed(int)
 0001:00208560       CPlayerPed::GetPadFromPlayer(void)
 0001:00208650       CPlayerPed::ReApplyMoveAnims(void)
 0001:002088F0       CPlayerPed::ProcessAnimGroups(void)
 0001:00208C80       CPlayerPed::ClearWeaponTarget(void)
 0001:00208F10       CPlayerPed::SetWantedLevel(int)
 0001:00208FF0       CPlayerPed::GetPlayerInfoForThisPlayerPed(void)
 0001:00209020       CPlayerPed::DoStuffToGoOnFire(void)
 0001:00209530       CPlayerPed::ResetSprintEnergy(void)
 0001:002098D0       CPlayerPed::HandlePlayerBreath(bool,float)
 0001:002099C0       CPlayerPed::SetRealMoveAnim(void)
 0001:0020AA80       CPlayerPed::DrawTriangleForMouseRecruitPed(void)
 0001:0020BD20       CPlayerPed::SetInitialState(bool)
 0001:0020C5B0       CPlayerPed::CPlayerPed(int,bool)
 0001:0020C790       CPlayerPed::SetupPlayerPed(int)
 0001:0020C850       CPlayerPed::ProcessWeaponSwitch(CPad *)
 0001:0020DA90       CPlayerPed::ProcessControl(void)
 0001:0020E8C0       CPopCycle::Display(void)
 0001:0020FBF0       CPopCycle::Update(void)
 0001:0020FE10       CPopulation__Initialise
 0001:0020FF20       CWorld::RemoveEntityInsteadOfProcessingIt(CEntity *)
 0001:00210570       CPopulation::UpdatePedCount(CPed *,uchar)
 0001:00212A00       CPopulation::AddPedInCar(CVehicle *,bool,int,int,bool,bool)
 0001:00215650       CPopulation::Update(bool)
 0001:002163F0       BoneNodeManager_c::Init(void)
 0001:00216430       BoneNodeManager_c::Reset(void)
 0001:00216470       IKChain_c::Exit(void)
 0001:00216870       IKChainManager_c::RemoveIKChain(IKChain_c *)
 0001:002170A0       IKChainManager_c::Init(void)
 0001:002170D0       IKChainManager_c::Exit(void)
 0001:00217140       IKChainManager_c::Reset(void)
 0001:00217E70       CGenericGameStorage__InitRadioStationPositionList
 0001:00217E90       CGenericGameStorage::DoGameSpecificStuffAfterSucessLoad(void)
 0001:00217F50       CGenericGameStorage::DoGameSpecificStuffBeforeSave(void)
 0001:00218060       C_PcSave::SaveSlot(signed char,bool)
 0001:00218450       RsCameraBeginUpdate(RwCamera *)
 0001:002184A0       CMirrors::RenderReflections(void)
 0001:002185E0       RsRwInitialize(void *)
 0001:00218600       RsSelectDevice(void)
 0001:00218B60       RsEventHandler(RsEvent,void *)
 0001:00219340       CTask::CTask(void)
 0001:00219390       CTaskSimple::CTaskSimple(void)
 0001:002193A0       CTaskSimple::~CTaskSimple()
 0001:002193B0       CTaskComplex::CTaskComplex(void)
 0001:002193D0       CTaskComplex::~CTaskComplex()
 0001:00219430       CTaskComplex::SetSubTask(CTask *)
 0001:002195A0       CTask::operator new(uint)
 0001:00219660       CTask::~CTask()
 0001:00219790       CTaskSimpleAnim::MakeAbortable(CPed *,int,CEvent const*)
 0001:00219900       CTaskSimpleRunAnim::CTaskSimpleRunAnim(AssocGroupId,AnimationId,float,int,char const*,bool)
 0001:00219A90       CTaskSimpleRunNamedAnim::GetTaskType(void)
 0001:00219B70       CTaskSimpleRunTimedAnim::CTaskSimpleRunTimedAnim(AssocGroupId,AnimationId,float,float,int,bool)
 0001:00219EA0       CTaskSimplePlayHandSignalAnim::GetTaskType(void)
 0001:00219F50       CTaskSimpleAnim::MakeAbortable(CPed *,int,CEvent const*)
 0001:0021A2E0       CTaskComplexPlayHandSignalAnim::GetTaskType(void)
 0001:0021A4F0       CTaskComplexPlayHandSignalAnim::CreateFirstSubTask(CPed *)
 0001:0021A570       CTaskComplexPlayHandSignalAnim::CreateNextSubTask(CPed *)
 0001:0021A580       CTaskComplexPlayHandSignalAnim::ControlSubTask(CPed *)
 0001:0021A810       CTaskSimpleRunTimedAnim::Clone(void)
 0001:0021A980       CTaskSimplePlayHandSignalAnim::Clone(void)
 0001:0021AA00       CTaskComplexPlayHandSignalAnim::Clone(void)
 0001:0021AAC0       CTaskSimpleRunAnim::ProcessPed(CPed *)
 0001:0021ABC0       CTaskSimpleRunTimedAnim::~CTaskSimpleRunTimedAnim()
 0001:0021ABE0       CTaskSimpleRunTimedAnim::ProcessPed(CPed *)
 0001:0021AD80       CTaskSimplePlayHandSignalAnim::~CTaskSimplePlayHandSignalAnim()
 0001:0021ADA0       CTaskSimplePlayHandSignalAnim::ProcessPed(CPed *)
 0001:0021B0D0       CTaskComplexPlayHandSignalAnim::~CTaskComplexPlayHandSignalAnim()
 0001:0021B520       CTaskSimpleFight::GetTaskType(void)
 0001:0021C0B0       CTaskSimpleFight::FightHitCar(CPed *,CVehicle *,CVector &,CVector &,short,uchar)
 0001:0021CC90       CTaskSimpleFightingControl::GetTaskType(void)
 0001:0021CD00       CTaskSimpleFightingControl::MakeAbortable(CPed *,int,CEvent const*)
 0001:0021CF20       CTaskSimpleUseGun::GetTaskType(void)
 0001:0021DB10       CTaskSimpleUseGun::FireGun(CPed *,bool)
 0001:0021E4C0       CTaskSimpleGunControl::GetTaskType(void)
 0001:0021E530       CTaskSimpleGunControl::MakeAbortable(CPed *,int,CEvent const*)
 0001:0021E940       CTaskSimpleThrowControl::GetTaskType(void)
 0001:0021E9B0       CTaskSimpleThrowControl::MakeAbortable(CPed *,int,CEvent const*)
 0001:0021E9F0       CTaskSimpleThrowControl::ProcessPed(CPed *)
 0001:0021EC40       CTaskSimpleBeKickedOnGround::GetTaskType(void)
 0001:0021ECC0       CTaskSimpleBeKickedOnGround::MakeAbortable(CPed *,int,CEvent const*)
 0001:0021EE00       CTaskSimpleBeKickedOnGround::ProcessPed(CPed *)
 0001:0021EE60       CTaskSimpleBeHitWhileMoving::GetTaskType(void)
 0001:0021EEE0       CTaskSimpleBeHitWhileMoving::MakeAbortable(CPed *,int,CEvent const*)
 0001:0021EF40       CTaskSimpleBeHitWhileMoving::StartAnim(CPed *)
 0001:0021F290       CTaskSimpleBeHitWhileMoving::ProcessPed(CPed *)
 0001:0021F360       CTaskSimpleChoking::GetTaskType(void)
 0001:0021F3F0       CTaskSimpleChoking::MakeAbortable(CPed *,int,CEvent const*)
 0001:0021F490       CTaskSimpleChoking::ProcessPed(CPed *)
 0001:0021F800       CTaskSimpleBeHit::GetTaskType(void)
 0001:0021F890       CTaskSimpleBeHit::MakeAbortable(CPed *,int,CEvent const*)
 0001:0021FA20       CTaskSimpleBeHit::ProcessPed(CPed *)
 0001:0021FB80       CTaskComplexReactToAttack::GetTaskType(void)
 0001:0021FBF0       CTaskComplexReactToAttack::MakeAbortable(CPed *,int,CEvent const*)
 0001:0021FE00       CTaskComplexReactToAttack::ControlSubTask(CPed *)
 0001:0021FEE0       CTaskComplexKillPedOnFoot::GetTaskType(void)
 0001:0021FFE0       CTaskComplexKillPedOnFootStealth::GetTaskType(void)
 0001:00220080       CTaskComplexKillPedOnFootMelee::GetTaskType(void)
 0001:002200F0       CTaskComplexKillPedOnFootMelee::MakeAbortable(CPed *,int,CEvent const*)
 0001:00220240       CTaskComplexKillPedOnFootArmed::GetTaskType(void)
 0001:002202B0       CTaskComplexKillPedOnFootArmed::MakeAbortable(CPed *,int,CEvent const*)
 0001:002207D0       CTaskSimpleGangDriveBy::CTaskSimpleGangDriveBy(CEntity *,CVector const*,float,signed char,signed char,bool)
 0001:002208B0       CTaskSimpleGangDriveBy::GetTaskType(void)
 0001:002208C0       CTaskSimpleGangDriveBy::~CTaskSimpleGangDriveBy()
 0001:00220960       CTaskSimpleGangDriveBy::PlayerTarget(CPed *)
 0001:00220B10       CTaskSimpleGangDriveBy::LineOfSightClearForAttack(CPed *,CVector &)
 0001:00220BE0       CTaskSimpleGangDriveBy::FinishAnimGangDriveByCB(CAnimBlendAssociation *,void *)
 0001:00220C70       CTaskComplexDestroyCar::GetTaskType(void)
 0001:00220C80       CTaskComplexDestroyCar::MakeAbortable(CPed *,int,CEvent const*)
 0001:00220D90       CTaskComplexDestroyCarMelee::GetTaskType(void)
 0001:00220E00       CTaskComplexDestroyCarMelee::MakeAbortable(CPed *,int,CEvent const*)
 0001:00221000       CTaskComplexDestroyCarArmed::GetTaskType(void)
 0001:00221070       CTaskComplexDestroyCarArmed::MakeAbortable(CPed *,int,CEvent const*)
 0001:00221100       CTaskComplexRoadRage::GetTaskType(void)
 0001:00221170       CTaskComplexRoadRage::MakeAbortable(CPed *,int,CEvent const*)
 0001:002211B0       CTaskComplexKillAllThreats::GetTaskType(void)
 0001:00221230       CTaskComplexKillAllThreats::ControlSubTask(CPed *)
 0001:002212A0       CTaskComplexKillPedGroupOnFoot::GetTaskType(void)
 0001:00221310       CTaskComplexKillPedGroupOnFoot::ControlSubTask(CPed *)
 0001:00221670       CTaskSimpleStealthKill::GetTaskType(void)
 0001:002216F0       CTaskSimpleStealthKill::MakeAbortable(CPed *,int,CEvent const*)
 0001:00221820       CTaskComplexKillPedFromBoat::GetTaskType(void)
 0001:00221890       CTaskComplexKillPedFromBoat::CreateNextSubTask(CPed *)
 0001:00221900       CTaskComplexKillPedFromBoat::CreateFirstSubTask(CPed *)
 0001:00221980       CTaskComplexKillPedFromBoat::ControlSubTask(CPed *)
 0001:00221BB0       CTaskComplexSeekCoverUntilTargetDead::GetTaskType(void)
 0001:00221C90       CTaskComplexSeekCoverUntilTargetDead::CreateNextSubTask(CPed *)
 0001:00221E40       CTaskSimpleFight::Clone(void)
 0001:00221EB0       CTaskSimpleFightingControl::Clone(void)
 0001:00221F20       CTaskSimpleUseGun::Clone(void)
 0001:00221FB0       CTaskSimpleGunControl::Clone(void)
 0001:002220B0       CTaskSimpleThrowControl::Clone(void)
 0001:00222120       CTaskSimpleBeKickedOnGround::Clone(void)
 0001:00222190       CTaskSimpleBeHitWhileMoving::Clone(void)
 0001:00222220       CTaskSimpleChoking::Clone(void)
 0001:00222290       CTaskSimpleBeHit::Clone(void)
 0001:00222300       CTaskComplexReactToAttack::Clone(void)
 0001:00222370       CTaskComplexKillPedOnFoot::Clone(void)
 0001:00222400       CTaskComplexKillPedOnFootStealth::Clone(void)
 0001:00222460       CTaskComplexKillPedOnFootMelee::Clone(void)
 0001:002224C0       CTaskComplexKillPedOnFootArmed::Clone(void)
 0001:00222530       CTaskComplexDestroyCar::Clone(void)
 0001:002225A0       CTaskComplexDestroyCarMelee::Clone(void)
 0001:00222600       CTaskComplexDestroyCarArmed::Clone(void)
 0001:00222670       CTaskComplexRoadRage::Clone(void)
 0001:002226D0       CTaskSimpleGangDriveBy::Clone(void)
 0001:00222750       CTaskComplexKillAllThreats::Clone(void)
 0001:002227C0       CTaskComplexKillPedGroupOnFoot::Clone(void)
 0001:00222830       CTaskSimpleStealthKill::Clone(void)
 0001:002228A0       CTaskComplexKillPedFromBoat::Clone(void)
 0001:00222900       CTaskComplexSeekCoverUntilTargetDead::Clone(void)
 0001:002229D0       CTaskSimpleFight::~CTaskSimpleFight()
 0001:002229F0       CTaskSimpleFight::MakeAbortable(CPed *,int,CEvent const*)
 0001:002230B0       CTaskSimpleFight::FightStrike(CPed *,CVector &)
 0001:00223B30       CTaskSimpleFightingControl::~CTaskSimpleFightingControl()
 0001:00223ED0       CTaskSimpleUseGun::SetPedPosition(CPed *)
 0001:00224250       CTaskSimpleGunControl::~CTaskSimpleGunControl()
 0001:00224270       CTaskSimpleGunControl::ProcessPed(CPed *)
 0001:00224B60       CTaskSimpleThrowControl::~CTaskSimpleThrowControl()
 0001:00224B80       CTaskSimpleBeKickedOnGround::~CTaskSimpleBeKickedOnGround()
 0001:00224BA0       CTaskSimpleBeHitWhileMoving::~CTaskSimpleBeHitWhileMoving()
 0001:00224BC0       CTaskSimpleChoking::~CTaskSimpleChoking()
 0001:00224BE0       CTaskSimpleBeHit::~CTaskSimpleBeHit()
 0001:00224C00       CTaskComplexReactToAttack::~CTaskComplexReactToAttack()
 0001:00224C20       CTaskComplexReactToAttack::CreateNextSubTask(CPed *)
 0001:00224C70       CTaskComplexReactToAttack::CreateFirstSubTask(CPed *)
 0001:00224E20       CTaskComplexKillPedOnFoot::~CTaskComplexKillPedOnFoot()
 0001:00224E40       CTaskComplexKillPedOnFoot::MakeAbortable(CPed *,int,CEvent const*)
